fips,total,commodity,conservation,disaster,insurance,Year
56005,3518634,4213,334707,2707310,472404,2015
56007,2654870,-2,4278,2574523,76071,2015
56009,2748203,38974,102649,2523660,82920,2015
56011,3769943,7451,53921,2814283,894288,2015
56013,831506,32794,174687,317188,306837,2015
56015,5229616,514322,1837027,1113296,1764971,2015
56017,418955,1913,30977,376724,9341,2015
56019,3091300,1364,12128,3008105,69703,2015
56021,5318476,611959,1210643,1716851,1779023,2015
56023,887445,0,67272,801032,19141,2015
56025,2148777,43802,59081,1995959,49935,2015
56027,2438301,14084,388471,1701311,334435,2015
56029,1430969,86094,13817,195084,1135974,2015
56031,2861223,193940,1143782,821633,701868,2015
56033,3684955,0,61367,3425942,197646,2015
56035,723674,0,95949,627725,0,2015
56037,373692,0,0,322060,51632,2015
56039,0,0,0,0,0,2015
56041,970224,3593,299,966332,0,2015
56043,1305229,71659,21775,1112790,99005,2015
56045,1229827,51218,58913,821690,298006,2015
56001,3670828,112303,15437,3493703,49385,2014
56003,5788910,-772,63194,4625982,1100506,2014
56005,11597200,-26288,310496,10687456,625536,2014
56007,4498966,69362,4278,4365830,59496,2014
56009,3956762,1301,102681,3755690,97090,2014
56011,10231664,167439,53921,8877289,1133015,2014
56013,13677754,-1030,100957,13322821,255006,2014
56015,11431000,52745,1994571,7301210,2082474,2014
56017,3160312,-485,37851,3111886,11060,2014
56019,6974687,921,25128,6850434,98204,2014
56021,8303465,17556,1380314,5001513,1904082,2014
56023,5049140,-721,74302,4954002,21557,2014
56025,8408063,-23487,59082,8320680,51788,2014
56027,10959523,110629,394841,10101848,352205,2014
56029,2740442,23094,38127,1473885,1205336,2014
56031,10295350,32118,1241333,8038706,983193,2014
56033,3246466,-1223,64675,2920313,262701,2014
56035,5446015,0,95935,5350080,0,2014
56037,4305243,0,0,4305243,0,2014
56039,0,0,0,0,0,2014
56041,976730,0,299,976431,0,2014
56043,4217566,-703,22630,4059843,135796,2014
56045,8035868,283069,43051,7386761,322987,2014
56001,418421,16,54880,323265,40260,2013
56003,1654417,326741,20561,72098,1235017,2013
56005,3421698,291291,448975,2204559,476873,2013
56007,383783,37913,47526,262907,35437,2013
56009,1201192,20012,161285,901749,118146,2013
56011,1404791,318076,95014,77561,914140,2013
56013,847577,116061,158032,275210,298274,2013
56015,5818894,1497905,1762212,162278,2396499,2013
56017,161672,7125,125613,3721,25213,2013
56019,1382690,4701,21795,1263681,92513,2013
56021,5346999,1678529,1354287,120140,2194043,2013
56023,405642,130084,87505,159499,28554,2013
56025,1508299,26349,89967,1334855,57128,2013
56027,1630634,214758,426124,664551,325201,2013
56029,1521946,391515,70068,0,1060363,2013
56031,3272603,572803,1532835,227245,939720,2013
56033,999899,57813,105882,613048,223156,2013
56035,451328,0,143691,307637,0,2013
56037,696122,5154,57944,633024,0,2013
56039,13680,13680,0,0,0,2013
56041,7774,0,7774,0,0,2013
56043,506669,233874,99414,13018,160363,2013
56045,753741,48537,256043,208516,240645,2013
56001,67342,25220,3380,21019,17723,2012
56003,1775149,377963,76928,4210,1316048,2012
56005,1406120,347356,354021,306625,398118,2012
56007,58468,6893,38873,12242,460,2012
56009,88534,29766,1436,2500,54832,2012
56011,993446,217075,116110,40023,620238,2012
56013,534285,150887,43288,9602,330508,2012
56015,6175295,1665273,2173917,75371,2260735,2012
56017,83735,7608,49914,17759,8454,2012
56019,115846,6356,15753,35621,58116,2012
56021,5659093,1640029,1857348,90121,2071594,2012
56023,481833,264163,54341,130952,32377,2012
56025,238558,26574,160908,17490,33587,2012
56027,969080,248212,381479,144700,194689,2012
56029,1698674,455838,112899,8845,1121092,2012
56031,2612968,657310,1112469,2961,840228,2012
56033,397366,64084,84662,36500,212120,2012
56035,50368,0,525,49843,0,2012
56037,259692,5326,28243,226123,0,2012
56039,13099,13099,0,0,0,2012
56041,26443,0,26443,0,0,2012
56043,504866,268901,28573,20628,186764,2012
56045,571753,81001,61111,198058,231583,2012
56001,39793,24589,15204,0,0,2011
56003,1873255,428188,14984,292644,1137439,2011
56005,1146777,341598,405832,12865,386482,2011
56007,125979,46292,40591,10295,28801,2011
56009,234570,40554,117592,14447,61977,2011
56011,1101056,315722,87507,44560,653267,2011
56013,793960,128089,231240,112170,322461,2011
56015,6992533,1579778,2317069,697952,2397734,2011
56017,62955,7166,45978,0,9811,2011
56019,160473,32072,25127,36920,66354,2011
56021,6059697,1661317,2075702,255573,2067105,2011
56023,506813,134323,81002,249399,42089,2011
56025,359489,118030,82560,125749,33151,2011
56027,889795,235870,411080,11798,231047,2011
56029,1597242,419828,75310,98716,1003388,2011
56031,3059196,649697,1368628,90685,950186,2011
56033,355306,66366,79730,9418,199792,2011
56035,270512,0,525,269987,0,2011
56037,57040,25348,17111,14582,0,2011
56039,13747,13747,0,0,0,2011
56041,10716,7856,2860,0,0,2011
56043,546499,267920,32241,68191,178146,2011
56045,415010,66175,46403,1177,301255,2011
56001,67342,25220,3380,21019,17723,2010
56003,1775149,377963,76928,4210,1316048,2010
56005,1406120,347356,354021,306625,398118,2010
56007,58468,6893,38873,12242,460,2010
56009,88534,29766,1436,2500,54832,2010
56011,993446,217075,116110,40023,620238,2010
56013,534285,150887,43288,9602,330508,2010
56015,6175295,1665273,2173917,75371,2260735,2010
56017,83735,7608,49914,17759,8454,2010
56019,115846,6356,15753,35621,58116,2010
56021,5659093,1640029,1857348,90121,2071594,2010
56023,481833,264163,54341,130952,32377,2010
56025,238558,26574,160908,17490,33587,2010
56027,969080,248212,381479,144700,194689,2010
56029,1698674,455838,112899,8845,1121092,2010
56031,2612968,657310,1112469,2961,840228,2010
56033,397366,64084,84662,36500,212120,2010
56035,50368,0,525,49843,0,2010
56037,259692,5326,28243,226123,0,2010
56039,13099,13099,0,0,0,2010
56041,26443,0,26443,0,0,2010
56043,504866,268901,28573,20628,186764,2010
56045,571753,81001,61111,198058,231583,2010
55001,5571518,1895596,20692,0,3655230,2019
55003,612479,466154,1489,0,144836,2019
55005,13124627,8308028,79136,0,4737463,2019
55007,392994,180779,4193,0,208022,2019
55009,10731811,7465318,90092,0,3176401,2019
55011,7493610,5412036,404532,14316,1662726,2019
55013,2070758,1240737,430,0,829591,2019
55015,7417066,5635550,66744,103313,1611459,2019
55017,14653625,9064332,450867,116750,5021676,2019
55019,12306224,8368957,22854,723,3913690,2019
55021,13977538,9232684,393838,1900,4349116,2019
55023,4645635,2978499,487512,5247,1174377,2019
55025,29258305,20708824,2273879,53390,6222212,2019
55027,19566379,14439195,591224,0,4535960,2019
55029,5162753,2828573,114416,173,2219591,2019
55031,41989,19478,0,0,22511,2019
55033,14623630,9460416,406717,0,4756497,2019
55035,6173779,3300978,973231,0,1899570,2019
55037,10151,3073,0,0,7078,2019
55039,17350889,13213670,455407,17051,3664761,2019
55041,83076,11160,0,51200,20716,2019
55043,27550301,16641130,5727811,221539,4959821,2019
55045,18209128,12329036,1360878,8057,4511157,2019
55047,5263024,3612331,171969,0,1478724,2019
55049,15423310,8615685,3936759,9558,2861309,2019
55051,118728,71831,0,0,46897,2019
55053,7569127,5111274,497409,0,1960444,2019
55055,11541839,8389333,231444,1798,2919264,2019
55057,7725648,4772082,248513,4907,2700146,2019
55059,4904767,3197180,84169,0,1623418,2019
55061,8014267,5923610,182808,0,1907849,2019
55063,3767421,2917149,294182,71424,484666,2019
55065,24666112,15627618,3353734,95233,5589526,2019
55067,2306151,1148098,4294,117250,1036509,2019
55069,1324204,566452,748,282930,474074,2019
55071,12051455,9382536,380402,3961,2284556,2019
55073,19175996,13104214,48433,1403815,4619534,2019
55075,4426984,2688902,2210,0,1735872,2019
55077,4175175,2201299,43492,16932,1913452,2019
55078,122,122,0,0,0,2019
55079,216925,93284,6859,0,116782,2019
55081,8992190,6441890,369587,304501,1876212,2019
55083,8514153,4755819,18591,0,3739743,2019
55085,590429,364685,0,7438,218306,2019
55087,14188865,9328404,188618,0,4671843,2019
55089,2888860,2173624,44070,0,671166,2019
55091,4294329,3161950,234693,42056,855630,2019
55093,10617639,7341469,376475,1203,2898492,2019
55095,9622839,5762735,148728,9595,3701781,2019
55097,7665362,4530477,82785,194310,2857790,2019
55099,696175,445708,0,0,250467,2019
55101,6310234,4074032,141084,0,2095118,2019
55103,5524808,3587018,613898,0,1323892,2019
55105,22963363,15755560,1512423,0,5695380,2019
55107,3065427,1746208,201,0,1319018,2019
55109,15693639,9600361,580663,0,5512615,2019
55111,11364215,8118032,698930,1694,2545559,2019
55113,1163156,630519,0,2886,529751,2019
55115,11007169,7391973,45304,444,3569448,2019
55117,9495261,7511838,45662,1383,1936378,2019
55119,7992691,5884384,13589,0,2094718,2019
55121,10415361,6598985,1545673,953,2269749,2019
55123,7266266,5145954,242963,147945,1729404,2019
55125,176237,118063,0,0,58174,2019
55127,12642837,8054721,479712,3717,4104687,2019
55129,1933563,1161780,467,0,771316,2019
55131,6402258,5292616,45895,40011,1023736,2019
55133,3332335,2309603,59186,7034,956512,2019
55135,7526877,5411950,238534,0,1876393,2019
55137,3675108,892452,3220,0,2779436,2019
55139,9779594,7344292,351962,0,2083340,2019
55141,8324969,5735683,128144,0,2461142,2019
55001,3040392,451728,20783,0,2567881,2018
55003,425665,326433,1491,0,97741,2018
55005,9524882,4884235,134850,32387,4473410,2018
55007,363833,207858,4200,0,151775,2018
55009,7302320,4714134,111777,1514,2474895,2018
55011,5155038,3083485,466723,145999,1458831,2018
55013,1540700,775747,430,0,764523,2018
55015,5533843,4190498,95660,17536,1230149,2018
55017,9828318,4928039,538232,122169,4239878,2018
55019,7385196,4201702,22119,0,3161375,2018
55021,8798901,4539802,494692,1540,3762867,2018
55023,3381964,1734992,515486,6448,1125038,2018
55025,16696956,9239821,2367520,44880,5044735,2018
55027,12426743,8287912,632806,15115,3490910,2018
55029,3632068,1571333,114362,26768,1919605,2018
55031,36495,17749,0,0,18746,2018
55033,9532025,4964656,424122,0,4143247,2018
55035,4893529,2023398,1085019,0,1785112,2018
55037,25861,19259,388,0,6214,2018
55039,10353067,7012548,512532,1806,2826181,2018
55041,40622,17240,0,0,23382,2018
55043,19448275,8628633,6095828,29257,4694557,2018
55045,11513123,6183159,1455605,1094,3873265,2018
55047,3631819,2195030,172297,0,1264492,2018
55049,12762079,5510813,4532625,15424,2703217,2018
55051,93518,56000,0,0,37518,2018
55053,5364123,2941769,646934,14010,1761410,2018
55055,7665210,5181563,196780,0,2286867,2018
55057,4846818,2227270,291472,3579,2324497,2018
55059,2934857,1840765,94268,-4951,1004775,2018
55061,5711294,3724138,172253,0,1814903,2018
55063,2594324,1780222,306360,0,507742,2018
55065,13303387,5246445,2858171,66653,5132118,2018
55067,2046706,965125,4412,139355,937814,2018
55069,1247796,332352,748,430770,483926,2018
55071,8952636,6508354,424614,353,2019315,2018
55073,12603874,6297815,48484,2317963,3939612,2018
55075,4661381,2910360,2209,27268,1721544,2018
55077,2629663,777783,55430,117250,1679200,2018
55078,1429,1429,0,0,0,2018
55079,114318,46389,6859,0,61070,2018
55081,4680990,2598118,413779,11168,1657925,2018
55083,8442071,5482289,53057,0,2906725,2018
55085,211088,16637,0,0,194451,2018
55087,8597628,5465635,217423,41,2914529,2018
55089,1695617,1148454,42821,0,504342,2018
55091,3114392,2081139,286822,0,746431,2018
55093,7257517,4177197,478515,0,2601805,2018
55095,6745486,3130055,206356,87852,3321223,2018
55097,4515548,2215185,72314,27930,2200119,2018
55099,574680,356787,0,0,217893,2018
55101,5080119,3704724,153698,30765,1190932,2018
55103,3996967,2093813,698146,237,1204771,2018
55105,14986823,8407054,1523440,2236,5054093,2018
55107,2138066,1098994,201,41970,996901,2018
55109,9651003,4400081,677237,0,4573685,2018
55111,7036630,3978146,765588,11534,2281362,2018
55113,642460,132183,0,4506,505771,2018
55115,9041776,5631988,68812,27460,3313516,2018
55117,5448304,4003463,47824,0,1397017,2018
55119,5821555,3965005,20801,0,1835749,2018
55121,8421749,4321332,1921291,7239,2171887,2018
55123,5288787,3349208,285443,46631,1607505,2018
55125,53012,3411,0,7470,42131,2018
55127,10190054,6693687,548793,3513,2944061,2018
55129,1326993,621504,208,0,705281,2018
55131,3374575,2401773,42015,537,930250,2018
55133,2194736,1406810,65857,5070,716999,2018
55135,5578011,3868151,280626,0,1429234,2018
55137,2904295,376102,4330,0,2523863,2018
55139,5785950,4023928,373719,0,1388303,2018
55141,6176848,4058429,131254,145121,1842044,2018
55001,3552835,477296,23378,0,3052161,2017
55003,161083,5342,1491,1412,152838,2017
55005,5229249,236812,90135,4867,4897435,2017
55007,262751,68650,4200,5841,184060,2017
55009,3219634,372036,120404,0,2727194,2017
55011,3724958,1376676,480129,193151,1675002,2017
55013,851226,22359,430,78866,749571,2017
55015,1839428,372170,65645,8362,1393251,2017
55017,5147217,267499,514245,69258,4296215,2017
55019,3596704,282621,18149,1514,3294420,2017
55021,4692053,286544,426988,6675,3971846,2017
55023,2280774,529913,507233,1973,1241655,2017
55025,15663070,7862047,2063210,40564,5697249,2017
55027,8662528,4213533,653281,268,3795446,2017
55029,2572273,418578,133439,40,2020216,2017
55031,23442,1621,0,0,21821,2017
55033,5042041,202337,401607,0,4438097,2017
55035,3193880,276029,1101941,0,1815910,2017
55037,54513,12000,388,0,42125,2017
55039,6254061,2640067,495302,0,3118692,2017
55041,125872,4729,0,85645,35498,2017
55043,11464859,554696,5414411,12281,5483471,2017
55045,5871450,247004,1414635,678,4209133,2017
55047,2792186,1277352,168865,0,1345969,2017
55049,7344109,881772,3529906,0,2932431,2017
55051,29682,684,0,0,28998,2017
55053,2446203,93696,406915,11519,1934073,2017
55055,3008565,335846,257045,0,2415674,2017
55057,2817003,63780,286282,0,2466941,2017
55059,3588520,2371412,80069,14261,1122778,2017
55061,3385092,1290289,183424,0,1911379,2017
55063,2275733,1439958,293921,0,541854,2017
55065,11101122,2494149,2860925,38372,5707676,2017
55067,1252199,195101,4815,124972,927311,2017
55069,771463,37097,748,295040,438578,2017
55071,3406260,887504,324819,0,2193937,2017
55073,4965530,422409,45150,276777,4221194,2017
55075,3042330,1345582,2209,0,1694539,2017
55077,1911929,66793,57805,9794,1777537,2017
55078,1240,1240,0,0,0,2017
55079,152759,62285,15432,0,75042,2017
55081,2385594,87987,386831,4264,1906512,2017
55083,4775346,1539502,31835,0,3204009,2017
55085,277158,15924,0,8436,252798,2017
55087,3919338,377192,224549,5384,3312213,2017
55089,758592,133027,68333,0,557232,2017
55091,1203334,162609,252722,0,788003,2017
55093,3585601,128224,457831,0,2999546,2017
55095,3763748,165217,171752,0,3426779,2017
55097,3030241,639985,123901,99111,2167244,2017
55099,306004,86631,0,0,219373,2017
55101,3649458,2007647,199577,1998,1440236,2017
55103,3089506,959915,742902,2808,1383881,2017
55105,9815820,2702069,1608450,41,5505260,2017
55107,1254421,33477,3308,0,1217636,2017
55109,6057007,583393,726920,0,4746694,2017
55111,3700815,298018,776185,0,2626612,2017
55113,534500,5411,0,0,529089,2017
55115,4559454,1220697,67570,0,3271187,2017
55117,2242752,710205,50096,3923,1478528,2017
55119,2236294,148981,20514,4307,2062492,2017
55121,4691786,1148880,1316742,2125,2224039,2017
55123,2382561,102677,286327,68893,1924664,2017
55125,41951,93,0,0,41858,2017
55127,11272653,7601988,494031,6138,3170496,2017
55129,736523,29386,605,0,706532,2017
55131,1214011,131037,65455,9448,1008071,2017
55133,2032492,1136373,83358,110,812651,2017
55135,3107261,1316052,223547,1432,1566230,2017
55137,2561609,238119,4749,0,2318741,2017
55139,5392625,3404096,374250,0,1614279,2017
55141,2421068,76284,125136,101647,2118001,2017
55001,4160020,1160541,27238,0,2972241,2016
55003,152095,2323,1490,0,148282,2016
55005,6727052,1710581,74539,81229,4860703,2016
55007,229786,41996,4200,0,183590,2016
55009,3850460,607394,96326,26089,3120651,2016
55011,5999452,3956169,467513,0,1575770,2016
55013,759940,39506,430,0,720004,2016
55015,2708686,1218472,62222,0,1427992,2016
55017,5676531,1571168,428849,18863,3657651,2016
55019,3768167,729542,23739,3148,3011738,2016
55021,12298311,8075148,450675,0,3772488,2016
55023,3835815,2116871,522161,0,1196783,2016
55025,24023666,16684746,1933120,22998,5382802,2016
55027,13299337,9151382,663061,139,3484755,2016
55029,2815873,537556,150629,62240,2065448,2016
55031,28851,7202,0,0,21649,2016
55033,8134314,3898181,328926,0,3907207,2016
55035,3867038,1378642,947131,4882,1536383,2016
55037,24829,21633,388,0,2808,2016
55039,9434783,5861579,499419,0,3073785,2016
55041,119936,3662,0,97206,19068,2016
55043,21241231,11886297,4172351,81349,5101234,2016
55045,14329546,8880919,1402830,85785,3960012,2016
55047,4396230,2892796,201740,0,1301694,2016
55049,12266546,6052075,3532022,30588,2651861,2016
55051,53759,13288,0,0,40471,2016
55053,5043542,2606272,352139,220805,1864326,2016
55055,8849515,6402969,264861,0,2181685,2016
55057,4656712,1978695,282395,0,2395622,2016
55059,3756125,2673479,95312,0,987334,2016
55061,3160339,863906,141098,0,2155335,2016
55063,3011662,2234978,284621,0,492063,2016
55065,18710052,10933745,2431218,63534,5281555,2016
55067,1680884,705018,4817,109750,861299,2016
55069,523483,89200,748,58883,374652,2016
55071,6901584,4259516,351212,48710,2242146,2016
55073,6208647,1712685,49425,669458,3777079,2016
55075,3548556,1829596,2211,0,1716749,2016
55077,3402020,1621046,58682,0,1722292,2016
55078,3218,3218,0,0,0,2016
55079,157877,75659,16307,0,65911,2016
55081,3678506,1438059,381035,0,1859412,2016
55083,6605006,3738063,18565,0,2848378,2016
55085,248757,9587,0,-1112,240282,2016
55087,7952533,4348541,221048,0,3382944,2016
55089,638059,101917,65761,5837,464544,2016
55091,2167724,1205067,238766,0,723891,2016
55093,6533032,3523762,415323,0,2593947,2016
55095,4173632,828745,165316,24842,3154729,2016
55097,5930573,1943167,1605573,103525,2278308,2016
55099,364325,136588,123,0,227614,2016
55101,4474524,2972135,226416,0,1275973,2016
55103,4197009,2163378,768741,16324,1248566,2016
55105,20481775,13770369,1575039,21344,5115023,2016
55107,1777167,761901,3308,0,1011958,2016
55109,9353150,4611173,724883,58,4017036,2016
55111,8055150,4896368,743448,1553,2413781,2016
55113,643390,142786,0,5048,495556,2016
55115,7478405,4374071,79882,5754,3018698,2016
55117,4350432,2841085,63286,0,1446061,2016
55119,2678364,828150,21887,0,1828327,2016
55121,7713180,4680449,1007873,0,2024858,2016
55123,5976087,3938550,254270,512,1782755,2016
55125,40206,456,0,1598,38152,2016
55127,12230262,9067205,441952,-8739,2729844,2016
55129,717287,38532,605,0,678150,2016
55131,1134144,175963,52529,0,905652,2016
55133,3549127,2684906,103030,25804,735387,2016
55135,4905554,2992909,226797,0,1685848,2016
55137,2737854,470037,5945,0,2261872,2016
55139,5495314,3511257,413276,0,1570781,2016
55141,3401930,1160508,113034,5459,2122929,2016
55001,3157122,562287,26735,660,2567440,2015
55003,277804,96600,1490,0,179714,2015
55005,9557290,4168351,110870,4176,5273893,2015
55007,308959,81307,4200,0,223452,2015
55009,6844958,3181669,97220,-7344,3573413,2015
55011,5871686,3700892,435339,757,1734698,2015
55013,1439061,699886,430,0,738745,2015
55015,5197274,3499025,68792,0,1629457,2015
55017,8725489,3924510,437743,67586,4295650,2015
55019,6649318,3030250,30226,41596,3547246,2015
55021,12788172,8073890,446727,19296,4248259,2015
55023,3733295,1839983,548943,6223,1338146,2015
55025,21711722,13984542,1725409,97595,5904176,2015
55027,13274651,8704131,624454,21780,3924286,2015
55029,3763831,1282193,158319,77983,2245336,2015
55031,45707,17864,0,0,27843,2015
55033,10374428,5434147,358099,0,4582182,2015
55035,4856325,2289858,785995,27920,1752552,2015
55037,37971,20428,388,0,17155,2015
55039,10683546,6605396,532804,5684,3539662,2015
55041,41626,3691,0,15022,22913,2015
55043,19552192,10504688,3005064,437219,5605221,2015
55045,12261939,6763766,1300910,69793,4127470,2015
55047,4027783,2262463,196769,0,1568551,2015
55049,10363744,4527431,2874024,110004,2852285,2015
55051,13955,13955,0,0,0,2015
55053,4723094,2391988,194301,24981,2111824,2015
55055,8344088,5698064,285671,26516,2333837,2015
55057,5370220,2428560,319124,46787,2575749,2015
55059,3345206,2112104,106531,27692,1098879,2015
55061,5114891,2450481,156785,0,2507625,2015
55063,3000776,2036919,286447,83631,593779,2015
55065,16529070,7924779,2323818,398795,5881678,2015
55067,1584343,438358,5220,138453,1002312,2015
55069,1207416,224312,748,520158,462198,2015
55071,7523935,4540861,342299,4943,2635832,2015
55073,8617311,3561844,54529,543422,4457516,2015
55075,3577457,1805985,7215,0,1764257,2015
55077,2487274,425065,61739,45091,1955379,2015
55078,2798,2798,0,0,0,2015
55079,157870,69773,15831,0,72266,2015
55081,5455855,2816346,406003,201029,2032477,2015
55083,6846202,3660704,25556,-2823,3162765,2015
55085,214523,3958,0,1365,209200,2015
55087,10764888,6490938,168857,0,4105093,2015
55089,1876627,1300645,74157,718,501107,2015
55091,3165922,2136997,238282,4900,785743,2015
55093,9099850,5796151,405892,7195,2890612,2015
55095,7860018,4073057,206431,41850,3538680,2015
55097,4612830,2473919,126353,27061,1985497,2015
55099,401101,142033,123,0,258945,2015
55101,4490476,2823210,190392,63917,1412957,2015
55103,4266532,2056891,779133,51420,1379088,2015
55105,17305116,10406943,1476899,13705,5407570,2015
55107,2157216,830567,4501,10607,1311541,2015
55109,12201801,7029096,621701,9239,4541765,2015
55111,8023896,4491496,705967,49335,2777098,2015
55113,722746,144131,0,15051,563564,2015
55115,7737041,4234807,94418,4244,3403572,2015
55117,5004286,3403791,70620,0,1529875,2015
55119,4035046,1849746,17029,2463,2165808,2015
55121,7474911,4513248,718328,1553,2241782,2015
55123,5855115,3563732,263187,9681,2018515,2015
55125,33933,899,0,1112,31922,2015
55127,8010962,4590218,371714,75743,2973287,2015
55129,1434225,628600,605,0,805020,2015
55131,2966246,1910954,57077,13340,984875,2015
55133,2138543,1236921,88727,8843,804052,2015
55135,5688244,3585538,246359,11206,1845141,2015
55137,2967026,669281,5945,202,2291598,2015
55139,5641244,3440161,418565,0,1782518,2015
55141,4282352,2023462,112729,82784,2063377,2015
55001,2912761,49214,28265,36844,2798438,2014
55003,184410,27602,1490,0,155318,2014
55005,5734409,262480,117689,398,5353842,2014
55007,203799,21254,4200,0,178345,2014
55009,3928254,112077,121639,588,3693950,2014
55011,2373300,116016,463441,1040,1792803,2014
55013,869791,19736,1028,0,849027,2014
55015,1751915,37574,73429,0,1640912,2014
55017,5017401,240638,431079,115021,4230663,2014
55019,4242286,1088,30729,538571,3671898,2014
55021,4979093,34176,462089,252515,4230313,2014
55023,2499562,60418,578135,558571,1302438,2014
55025,8733238,1182703,1885765,49809,5614961,2014
55027,5146563,291706,763088,90726,4001043,2014
55029,2699919,0,166982,203213,2329724,2014
55031,50690,23353,0,766,26571,2014
55033,5498103,105380,400490,0,4992233,2014
55035,2684182,73064,880414,0,1730704,2014
55037,40481,11060,388,0,29033,2014
55039,4393257,304919,569222,57457,3461659,2014
55041,39583,0,0,0,39583,2014
55043,13735705,959149,2930763,4458507,5387286,2014
55045,5847807,110988,1366321,489468,3881030,2014
55047,1866398,88224,237053,12123,1528998,2014
55049,7754531,364996,2960754,1800173,2628608,2014
55051,42181,0,0,0,42181,2014
55053,2784056,21468,195404,286868,2280316,2014
55055,3103681,180310,302680,103738,2516954,2014
55057,3004114,97605,288461,145670,2472378,2014
55059,1430089,161850,104532,42100,1121607,2014
55061,2709962,4729,175009,0,2530224,2014
55063,1038658,65044,257159,142501,573954,2014
55065,12027496,1414916,2403447,1701527,6507606,2014
55067,1246231,9601,5220,49240,1182170,2014
55069,701301,0,748,179875,520678,2014
55071,3593993,421526,346990,2579,2822898,2014
55073,5076414,45319,53584,143145,4834366,2014
55075,1758336,0,2083,2198,1754055,2014
55077,2018844,3455,65574,23121,1926694,2014
